obs_wl_air,prev_obs,prev
7039.0,A17o-INDEF,A17o
7054.0,A17o-INDEF,A17o
7069.07,A17o-TiI,A17o
7085.1,A17o-CoI,A17o
7111.71,A17o-FeII,A17o
7197.0,A17o-INDEF,A17o
7223.66,A17o-FeI,A17o
7664.9,A17o-KI,A17o
7711.26,A17o-FeII,A17o
7724.0,A17o-INDEF,A17o
7749.0,A17o-INDEF,A17o
7790.0,A17o-INDEF,A17o
7914.71,A17o-FeI,A17o
7937.14,A17o-FeI,A17o
8027.94,A17o-FeI,A17o
8048.99,A17o-FeI,A17o
8075.56,A17o-FeI,A17o
8203.07,A17o-VI,A17o
8220.38,A17o-FeI,A17o
8327.06,A17o-FeI,A17o
8366.0,A17o-INDEF,A17o
8389.0,A17o-INDEF,A17o
8403.0,A17o-INDEF,A17o
8413.32,Z20o-HI/A17o-HI,Z20o/A17o
8437.95,A17o-HI,A17o
8467.26,A17o-HI,A17o
8514.07,A17o-FeI,A17o
8582.26,A17o-FeI,A17o
8623.43,A17o-TiI,A17o
8676.0,A17o-INDEF,A17o
8758.0,A17o-INDEF,A17o
8839.06,A17o-FeII,A17o
8945.0,A17o-INDEF,A17o
8977.0,A17o-INDEF,A17o
9014.91,A17o-HI,A17o
9088.57,A17o-CI,A17o
9103.0,A17o-INDEF,A17o
9147.71,A17o-FeI,A17o
9147.96,A17o-FeI,A17o
9211.0,A17o-INDEF,A17o
3701.09,Z20o-FeI,Z20o
3704.46,Z20o-FeI,Z20o
3706.23,Z20o-TiII,Z20o
