# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
Mn	2	"2989.7303"	"60"	"1.3e+06"	D+	"4.122308"	"8.2681019"	"3d5.(4G).4s"	"a 3G"	"4"	"3d5.(4G).4p"	"z 5F*"	"3"	9	7		
V	2	"2989.7457"	"2800"	"1.1e+07"	D+	"2.3763202"	"6.5220923"	"3d3.(2P).4s"	"b 3P"	"1"	"3d3.(4P).4p"	"x 3D*"	"1"	3	3		
Ti	2	"2990.04332"	"67"	"5.6e+07"	D	"3.97066729"	"8.11602678"	"3d2.(3F).4p"	"z 2D*"	"5/2"	"3d2.(3F).4d"	"4D"	"7/2"	6	8		
Fe	1	"2990.39127"	"5200"	"3.5e+07"	D+	"2.72754450"	"6.87242168"	"3d7.(2G).4s"	"a 3G"	"4"	"3d6.(1G2).4s.4p.(3P*)"	"s 3G*"	"5"	9	11		
Ni	1	"2991.118"	""	"1.2e+05"	D+	"0.2748172"	"4.4186880"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"	5	7		
Fe	2	"2991.22864"	"270"	"1.4e+06"	D	"3.42449356"	"7.5682105"	"3d6.(3F2).4s"	"a 2F"	"5/2"	"3d6.(3H).4p"	"z 4G*"	"5/2"	6	6		
Fe	2	"2991.81822"	"800bl(Fe II)*"	"1.0e+06"	D	"5.51071390"	"9.6536143"	"3d6.(5D).4p"	"z 4D*"	"7/2"	"3d6.(5D).5s"	"e 6D"	"9/2"	8	10		
Cr	1	"2991.88747"	"220"	"3.0e+08"	D	"0.96841324"	"5.11121771"	"3d4.4s2"	"a 5D"	"1"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"0"	3	1		
K	1	"2992.1179"	"a"	"3.16e+03"	C+	"0.00000000"	"4.1424855"	"3p6.4s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"3/2"	2	4		
K	1	"2992.2225"	"a"	"2.12e+03"	C+	"0.00000000"	"4.1423407"	"3p6.4s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"1/2"	2	2		
Mn	2	"2992.4215"	"20D*"	"1.7e+06"	D+	"4.1260367"	"8.2681019"	"3d5.(4G).4s"	"a 3G"	"3"	"3d5.(4G).4p"	"z 5F*"	"3"	7	7		
Ni	1	"2992.592"	"500"	"5.4e+06"	C+	"0.0253904"	"4.1672193"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"	7	5		
V	2	"2992.9849"	"1300h"	"1.6e+07"	C	"5.4803096"	"9.6215951"	"3d3.(2D1).4s"	"c 3D"	"1"	"3d3.(2D1).4p"	"v 1D*"	"2"	3	5		
Mn	2	"2993.6025"	"50*"	"5.9e+06"	D+	"4.1097923"	"8.2502234"	"3d5.(4G).4s"	"a 3G"	"5"	"3d5.(4G).4p"	"z 5F*"	"5"	11	11		
Mn	2	"2993.6198"	"50*"	"2.1e+05"	D	"4.122308"	"8.2627156"	"3d5.(4G).4s"	"a 3G"	"4"	"3d5.(4G).4p"	"z 5F*"	"4"	9	9		
V	2	"2994.0581"	"370"	"2.1e+07"	C	"2.76157898"	"6.9013802"	"3d3.(2P).4s"	"a 1P"	"1"	"3d3.(4P).4p"	"y 3S*"	"1"	3	3		
Cr	1	"2994.06767"	"170"	"2.5e+07"	E	"0.94143042"	"5.08121834"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"2"	5	5		
Al	2	"2994.273"	"50"	"4.04e+06"	C	"13.071347"	"17.210850"	"3s.4p"	"3P*"	"0"	"3s.6d"	"3D"	"1"	1	3		
Fe	1	"2994.42662"	"r"	"4.39e+07"	B+	"0.05156912"	"4.19086081"	"3d6.4s2"	"a 5D"	"3"	"3d7.(4F).4p"	"y 5D*"	"2"	7	5		
Ni	1	"2994.453"	"1000"	"8.7e+06"	C+	"0.0253904"	"4.1646453"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"1G*"	"4"	7	9		
Fe	1	"2994.50197"	"26300"	"1.49e+06"	A	"0.12126572"	"4.26045326"	"3d6.4s2"	"a 5D"	"0"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	1	3		
V	2	"2994.5401"	"15000"	"2.1e+07"	C	"3.8029784"	"7.9421132"	"3d4"	"d 3F1"	"2"	"3d3.(2F).4p"	"w 3G*"	"3"	5	7		
Ca	1	"2994.957"	"9"	"3.67e+07"	C	"1.8793402"	"6.0178983"	"3p6.4s.4p"	"3P*"	"0"	"3p6.3d2"	"3P"	"1"	1	3		
Cr	1	"2995.10196"	"230"	"4.3e+07"	D	"0.94143042"	"5.07978882"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(5D).4s.4p.(1P*)"	"y 5F*"	"2"	5	5		
V	2	"2995.12067"	"13000"	"2.6e+07"	D+	"4.65196944"	"8.79030199"	"3d3.(4F).4p"	"z 5D*"	"3"	"3d3.(4F).5s"	"3F"	"4"	7	9		
Al	2	"2995.528"	"400"	"5.44e+06"	C+	"13.073080"	"17.210850"	"3s.4p"	"3P*"	"1"	"3s.6d"	"3D"	"2"	3	5		
Al	2	"2995.528"	""	"3.03e+06"	C	"13.073080"	"17.210850"	"3s.4p"	"3P*"	"1"	"3s.6d"	"3D"	"1"	3	3		
Fe	2	"2995.96884"	"100bl(Fe I)"	"1.0e+06"	D	"8.7179023"	"12.8550633"	"3d6.(3G).4p"	"x 2G*"	"9/2"	"3d6.(5D).5d"	"4F"	"9/2"	10	10		
V	2	"2995.99954"	"13000"	"4.8e+07"	B	"1.67524961"	"5.81236824"	"3d3.(4P).4s"	"a 5P"	"1"	"3d3.(4P).4p"	"z 5P*"	"2"	3	5		
Fe	1	"2996.38525"	"1410"	"1.70e+07"	B	"2.42419831"	"6.56078442"	"3d6.4s2"	"a 3P2"	"1"	"3d7.(2D2).4p"	"v 3P*"	"2"	3	5		
Cr	1	"2996.57788"	"250q"	"2.0e+08"	C	"0.98287742"	"5.11919762"	"3d4.4s2"	"a 5D"	"2"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"1"	5	3		
V	2	"2996.7018"	"480"	"3.2e+06"	D	"1.7037461"	"5.83989528"	"3d3.(4P).4s"	"a 5P"	"3"	"3d3.(4P).4p"	"y 5D*"	"2"	7	5		
Fe	2	"2997.29991"	"1100"	"9.e+06"	D+	"4.49479059"	"8.6301144"	"3d6.(3D).4s"	"b 2D"	"5/2"	"3d6.(3G).4p"	"y 2F*"	"7/2"	6	8		
Ca	1	"2997.316"	"8"	"2.41e+07"	C	"1.8858075"	"6.0211093"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"2"	3	5		
V	2	"2997.313"	"530"	"1.0e+07"	D+	"5.4803096"	"9.615616"	"3d3.(2D1).4s"	"c 3D"	"1"	"3d2.(1D).4s.4p.(3P*)"	"s 3D*"	"1"	3	3		
Fe	2	"2997.70420"	"110d?"	"3.0e+06"	D+	"8.9478161"	"13.0825823"	"3d6.(3D).4p"	"w 4F*"	"3/2"	"3d6.(3F2).4d"	"4F"	"3/2"	4	4		
V	2	"2997.9393"	"1300"	"8.5e+06"	C	"2.5444221"	"6.6788640"	"3d3.(2D2).4s"	"b 3D"	"1"	"3d3.(2D2).4p"	"w 3D*"	"2"	3	5		
Fe	2	"2997.97237"	"190"	"1.6e+06"	D	"7.12826481"	"11.2626611"	"3d5.4s2"	"d 4P"	"3/2"	"3d6.(3P1).4p"	"4P*"	"1/2"	4	2		
Al	2	"2998.149"	"500"	"7.26e+06"	C+	"13.076729"	"17.210881"	"3s.4p"	"3P*"	"2"	"3s.6d"	"3D"	"3"	5	7		
Al	2	"2998.172"	""	"2.01e+05"	D	"13.076729"	"17.210850"	"3s.4p"	"3P*"	"2"	"3s.6d"	"3D"	"1"	5	3		
Al	2	"2998.172"	""	"1.81e+06"	C	"13.076729"	"17.210850"	"3s.4p"	"3P*"	"2"	"3s.6d"	"3D"	"2"	5	5		
V	1	"2998.6228"	"28000"	"9.7e+06"	C	"1.04308018"	"5.1765797"	"3d4.(5D).4s"	"a 4D"	"1/2"	"3d3.(4P).4s.4p.(1P*)"	"v 4P*"	"1/2"	2	2		
Cr	1	"2998.78437"	"220"	"4.07e+07"	B	"0.94143042"	"5.07470726"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"1"	5	3		
Fe	2	"2998.85169"	"700d,bl(Fe II)?*"	"4.2e+05"	D	"3.42449356"	"7.5576776"	"3d6.(3F2).4s"	"a 2F"	"5/2"	"3d6.(3H).4p"	"z 4G*"	"7/2"	6	8		
Fe	2	"2998.8528"	"700d,bl(Fe II)?*"	"9.e+05"	D	"8.9322010"	"13.0653835"	"3d6.(3D).4p"	"w 4P*"	"3/2"	"3d6.(3F2).4d"	"4D"	"5/2"	4	6		
Na	2	"2999.329"	""	"5.7e+05"	E	"36.967803"	"41.100329"	"2s2.2p5.3p"	"3D"	"1"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	3	5		
Fe	1	"2999.51140"	"112000"	"1.70e+07"	C	"0.85899575"	"4.99127081"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"5"	11	11		
Ca	1	"2999.645"	"8"	"2.79e+07"	C	"1.8858075"	"6.0178983"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"1"	3	3		
Si	1	"2999.781"	""	"6.57e-04"	D	"0.0000000"	"4.1319040"	"3s2.3p2"	"3P"	"0"	"3s.3p3"	"5S*"	"2"	1	5	M2	
Fe	2	"3000.06156"	"1800"	"3.0e+06"	D+	"3.81430861"	"7.9458259"	"3d6.(3G).4s"	"b 2G"	"7/2"	"3d6.(3F2).4p"	"y 4G*"	"5/2"	8	6		
Fe	2	"3000.2444"	"270"	"4.9e+06"	D+	"9.1256755"	"13.2569411"	"3d6.(1I).4p"	"w 2H*"	"11/2"	"3d6.(3F2).4d"	"2G"	"9/2"	12	10		
Fe	2	"3000.29083"	"250bl(Fe II)?*"	"8.e+05"	D	"7.1388229"	"11.2700245"	"3d5.4s2"	"d 4P"	"1/2"	"3d6.(5D).5p"	"4D*"	"3/2"	2	4		
Ar	2	"3000.44527"	"17"	"1.5e+08"	D	"19.762261075"	"23.89325004"	"3s2.3p4.(3P).4p"	"2D*"	"3/2"	"3s2.3p4.(3P).4d"	"2D"	"3/2"	4	4		
Fe	1	"3000.45121"	"24000"	"5.41e+06"	B+	"1.48486439"	"5.61584517"	"3d7.(4F).4s"	"a 3F"	"4"	"3d6.(3H).4s.4p.(3P*)"	"y 3G*"	"5"	9	11		
Co	1	"3000.543"	""	"7.0e+05"	C	"0.101171"	"4.232026"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"7/2"	8	8		
Ca	1	"3000.863"	"9"	"1.58e+08"	C	"1.8858075"	"6.0162208"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"0"	3	1		
Ti	1	"3000.8653"	"15+"	"1.2e+07"	C	"0.04796626"	"4.1783771"	"3d2.4s2"	"a 3F"	"4"	"3d3.(4F).4p"	"w 3F*"	"4"	9	9		
Cr	1	"3000.88420"	"5.7"	"1.6e+08"	C	"1.00367492"	"5.13405969"	"3d4.4s2"	"a 5D"	"3"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"2"	7	5		
Fe	1	"3000.94760"	"81000"	"6.42e+07"	A	"0.08728574"	"4.21758325"	"3d6.4s2"	"a 5D"	"2"	"3d7.(4F).4p"	"y 5D*"	"1"	5	3		
Fe	2	"3001.13283"	"150d?"	"4.9e+06"	D+	"8.2297382"	"12.3597808"	"3d6.(3G).4p"	"x 4F*"	"7/2"	"3d6.(3F2).5s"	"f 4F"	"7/2"	8	8		
V	2	"3001.20409"	"78000"	"2.23e+08"	B	"1.7037461"	"5.8336907"	"3d3.(4P).4s"	"a 5P"	"3"	"3d3.(4P).4p"	"z 5P*"	"3"	7	7		
Fe	2	"3001.31565"	"150d"	"1.0e+07"	D+	"8.2589171"	"12.3887082"	"3d6.(3G).4p"	"x 4F*"	"3/2"	"3d6.(3P2).5s"	"2P"	"1/2"	4	2		
Fe	2	"3001.39927"	"1000"	"1.3e+07"	D+	"8.0349812"	"12.1646572"	"3d6.(3P2).4p"	"z 2P*"	"1/2"	"3d6.(3P2).5s"	"4P"	"3/2"	2	4		
Fe	2	"3001.59564"	"160"	"3.9e+06"	D+	"8.2589171"	"12.3883229"	"3d6.(3G).4p"	"x 4F*"	"3/2"	"3d6.(3F2).5s"	"f 4F"	"3/2"	4	4		
Ne	2	"3001.66856"	"300"	"8.7e+07"	D	"27.2329339"	"31.36223939"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	4	4		
V	2	"3001.7478"	"9800"	"5.3e+07"	B	"2.5569243"	"6.6861207"	"3d3.(2D2).4s"	"b 3D"	"3"	"3d3.(2D2).4p"	"w 3D*"	"3"	7	7		
V	2	"3001.93425"	"1200"	"2.0e+06"	D+	"2.03601013"	"6.16495019"	"3d3.(2G).4s"	"b 3G"	"4"	"3d3.(2G).4p"	"z 1G*"	"4"	9	9		
Fe	2	"3001.97089"	"150d?"	"4.1e+06"	D+	"8.2477153"	"12.3766049"	"3d6.(3G).4p"	"x 4F*"	"5/2"	"3d6.(3F2).5s"	"f 4F"	"5/2"	6	6		
Fe	2	"3002.31926"	"1100"	"2.0e+06"	D+	"3.9441623"	"8.0725728"	"3d7"	"b 2F"	"5/2"	"3d6.(3F2).4p"	"y 2G*"	"7/2"	6	8		
Ni	1	"3002.485"	"4000"	"8.0e+07"	C+	"0.0253904"	"4.1535726"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"	7	7		
Fe	2	"3002.64210"	"40000bl(Fe II)*"	"9.2e+07"	B+	"8.7179023"	"12.8458690"	"3d6.(3G).4p"	"x 2G*"	"9/2"	"3d6.(3G).5s"	"e 2G"	"9/2"	10	10		
Fe	2	"3002.64448"	"40000bl(Fe II)*"	"1.79e+07"	C+	"1.69526130"	"5.82322475"	"3d7"	"a 4P"	"3/2"	"3d6.(5D).4p"	"z 4P*"	"5/2"	4	6		
V	1	"3002.6540"	"120000"	"2.4e+07"	C+	"1.08061491"	"5.20856527"	"3d4.(5D).4s"	"a 4D"	"7/2"	"3d3.(4P).4s.4p.(1P*)"	"v 4P*"	"5/2"	8	6		
Fe	1	"3003.03050"	"9800"	"7.50e+06"	C	"0.95815732"	"5.08559017"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"2"	7	5		
V	2	"3003.4641"	"19000"	"6.8e+07"	B	"1.6855312"	"5.81236824"	"3d3.(4P).4s"	"a 5P"	"2"	"3d3.(4P).4p"	"z 5P*"	"2"	5	5		
Ni	1	"3003.621"	"2200"	"6.9e+07"	D	"0.1090833"	"4.2357049"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"	5	5		
Fe	2	"3003.88623"	"2000"	"3.1e+07"	D+	"8.0384001"	"12.1646572"	"3d6.(3P2).4p"	"z 2P*"	"3/2"	"3d6.(3P2).5s"	"4P"	"3/2"	4	4		
Fe	1	"3004.1133"	"790"	"2.79e+06"	B	"2.43269470"	"6.5586399"	"3d6.4s2"	"a 3H"	"5"	"3d7.(2H).4p"	"y 3I*"	"5"	11	11		
Na	2	"3004.151"	"550"	"1.7e+07"	E	"37.181047"	"41.306940"	"2s2.2p5.3p"	"1P"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"	3	3		
Fe	2	"3004.25551"	"700d?"	"8.6e+05"	C+	"3.81430861"	"7.9400585"	"3d6.(3G).4s"	"b 2G"	"7/2"	"3d6.(3F2).4p"	"y 4G*"	"7/2"	8	8		
V	1	"3004.3205"	"36000"	"1.43e+07"	C+	"1.05091908"	"5.1765797"	"3d4.(5D).4s"	"a 4D"	"3/2"	"3d3.(4P).4s.4p.(1P*)"	"v 4P*"	"1/2"	4	2		
Co	2	"3004.8659"	"680"	"8.e+06"	D	"9.22154694"	"13.34645882"	"3d7.(2H).4p"	"y 1H*"	"5"	"3d7.(2G).4d"	"3H"	"5"	11	11		
S	2	"3004.986"	"7"	"2.69e+05"	D	"12.140391"	"16.265139"	"3s.3p4"	"2D"	"5/2"	"3s2.3p2.(3P).4p"	"2D*"	"5/2"	6	6		
Cr	1	"3005.05869"	"260q"	"9.2e+07"	C	"1.03000806"	"5.15465532"	"3d4.4s2"	"a 5D"	"4"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"3"	9	7		
Fe	1	"3005.3026"	"1290"	"2.94e+06"	C	"2.40407444"	"6.5283870"	"3d6.4s2"	"a 3H"	"6"	"3d7.(2H).4p"	"y 3I*"	"7"	13	15		
V	2	"3005.8134"	"10000h"	"3.1e+07"	D+	"2.3721639"	"6.4957755"	"3d3.(2P).4s"	"b 3P"	"2"	"3d3.(2D2).4p"	"x 3F*"	"3"	5	7		
V	2	"3006.4981"	"3700"	"3.0e+07"	C	"2.5561913"	"6.6788640"	"3d3.(2D2).4s"	"b 3D"	"2"	"3d3.(2D2).4p"	"w 3D*"	"2"	5	5		
Si	1	"3006.739"	"50"	"1.1e+03"	E	"0.0095610"	"4.1319040"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"5S*"	"2"	3	5		
Si	1	"3006.739"	""	"1.45e-03"	D	"0.0095610"	"4.1319040"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"5S*"	"2"	3	5	M2	
N	2	"3006.830"	"220"	"9.19e+07"	B	"20.409133"	"24.531351"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.4s"	"1P*"	"1"	3	3		
Ca	1	"3006.861"	"10"	"7.5e+07"	C	"1.8989349"	"6.0211093"	"3p6.4s.4p"	"3P*"	"2"	"3p6.3d2"	"3P"	"2"	5	5		
V	2	"3007.0327"	"880h"	"3.5e+06"	D+	"2.5569243"	"6.6788640"	"3d3.(2D2).4s"	"b 3D"	"3"	"3d3.(2D2).4p"	"w 3D*"	"2"	7	5		
Fe	1	"3007.14520"	"11000"	"7.34e+06"	B+	"1.48486439"	"5.60664989"	"3d7.(4F).4s"	"a 3F"	"4"	"3d6.(3P2).4s.4p.(3P*)"	"x 3D*"	"3"	9	7		
Fe	1	"3007.28234"	"58000"	"2.73e+06"	A	"0.08728574"	"4.20888328"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"2"	5	5		
V	2	"3007.2998"	"3100"	"1.58e+07"	C+	"1.67524961"	"5.7968233"	"3d3.(4P).4s"	"a 5P"	"1"	"3d3.(4P).4p"	"z 5P*"	"1"	3	3		
Na	2	"3007.446"	"750"	"1.68e+07"	B+	"32.846429"	"36.967803"	"2s2.2p5.3s"	"3P*"	"2"	"2s2.2p5.3p"	"3D"	"1"	5	3		
Mn	1	"3007.650"	"40"	"1.8e+07"	E	"3.134449"	"7.255543"	"3d5.4s2"	"a 4G"	"5/2"	"3d6.(3H).4p"	"y 4H*"	"7/2"	6	8		
Fe	1	"3008.13796"	"85000"	"1.07e+08"	A	"0.11011433"	"4.23053960"	"3d6.4s2"	"a 5D"	"1"	"3d7.(4F).4p"	"y 5D*"	"0"	3	1		
Ti	2	"3008.31147"	"4"	"2.6e+06"	D	"1.57176070"	"5.69194831"	"3d3"	"a 2H"	"9/2"	"3d2.(1G).4p"	"z 2H*"	"11/2"	10	12		
V	2	"3008.5028"	"3200"	"3.9e+07"	C	"2.5444221"	"6.6643477"	"3d3.(2D2).4s"	"b 3D"	"1"	"3d3.(2D2).4p"	"w 3D*"	"1"	3	3		
V	2	"3008.61419"	"18000"	"2.77e+07"	B+	"1.67524961"	"5.79502267"	"3d3.(4P).4s"	"a 5P"	"1"	"3d3.(4P).4p"	"z 3P*"	"2"	3	5		
Co	2	"3008.85567"	"860"	"1.1e+06"	D	"3.78984644"	"7.90928888"	"3d7.(2H).4s"	"a 1H"	"5"	"3d7.(2G).4p"	"z 3H*"	"4"	11	9		
Fe	1	"3009.09315"	"2140"	"7.77e+06"	B+	"2.40407444"	"6.52319179"	"3d6.4s2"	"a 3H"	"6"	"3d7.(2H).4p"	"w 3H*"	"5"	13	11		
Na	2	"3009.143"	"750"	"3.0e+07"	D	"37.181047"	"41.300096"	"2s2.2p5.3p"	"1P"	"1"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	3	3		
Ca	1	"3009.206"	"9"	"4.30e+07"	C	"1.8989349"	"6.0178983"	"3p6.4s.4p"	"3P*"	"2"	"3p6.3d2"	"3P"	"1"	5	3		
Fe	1	"3009.56911"	"52000"	"1.43e+07"	C+	"0.91460217"	"5.03306811"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"4"	9	9		
Fe	2	"3010.21600"	"600"	"5.0e+06"	D+	"5.82322475"	"9.9408057"	"3d6.(5D).4p"	"z 4P*"	"5/2"	"3d6.(5D).5s"	"e 4D"	"3/2"	6	4		
Mn	1	"3011.163"	"40"	"1.1e+07"	E	"3.134994"	"7.251280"	"3d5.4s2"	"a 4G"	"9/2"	"3d6.(3H).4p"	"y 4H*"	"9/2"	10	10		
V	2	"3011.2560"	"780h"	"5.5e+06"	D+	"5.5368863"	"9.653045"	"3d2.4s2"	"c 1D"	"2"	"3d3.(2D1).4p"	"t 3F*"	"2"	5	5		
Mn	1	"3011.372"	"40"	"3.1e+07"	E	"3.135280"	"7.251280"	"3d5.4s2"	"a 4G"	"7/2"	"3d6.(3H).4p"	"y 4H*"	"9/2"	8	10		
Fe	1	"3011.4811"	"6800"	"3.79e+07"	B+	"2.75857762"	"6.8744289"	"3d7.(2G).4s"	"a 3G"	"3"	"3d6.(1G2).4s.4p.(3P*)"	"v 3H*"	"4"	7	9		
Ni	1	"3012.001"	"3700"	"1.3e+08"	C	"0.4227783"	"4.5379197"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"	5	5		
V	2	"3012.01522"	"8100"	"1.3e+07"	C	"2.04982878"	"6.16495019"	"3d3.(2G).4s"	"b 3G"	"5"	"3d3.(2G).4p"	"z 1G*"	"4"	11	9		
V	2	"3012.9964"	"17000"	"1.1e+08"	D+	"4.95958560"	"9.0733670"	"3d3.(4F).4p"	"z 3F*"	"2"	"3d3.(4F).4d"	"3D"	"1"	5	3		
V	2	"3013.10428"	"32000"	"8.9e+07"	B+	"1.67524961"	"5.78888370"	"3d3.(4P).4s"	"a 5P"	"1"	"3d3.(4P).4p"	"y 5D*"	"1"	3	3		
Co	1	"3013.589"	""	"1.4e+06"	C+	"0.000000"	"4.112972"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	10	8		
Cr	1	"3013.71163"	"260"	"8.3e+07"	C	"0.96841324"	"5.08121834"	"3d4.4s2"	"a 5D"	"1"	"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"2"	3	5		
Fe	1	"3014.17327"	"1000"	"2.57e+05"	B	"0.95815732"	"5.07033256"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.(3P2).4s.4p.(3P*)"	"z 5S*"	"2"	7	5		
V	2	"3014.8208"	"39000"	"2.37e+08"	B	"1.6855312"	"5.7968233"	"3d3.(4P).4s"	"a 5P"	"2"	"3d3.(4P).4p"	"z 5P*"	"1"	5	3		
Cr	1	"3015.1968"	"50r"	"1.63e+08"	B	"0.96097009"	"5.0717494"	"3d4.4s2"	"a 5D"	"0"	"3d4.(5D).4s.4p.(1P*)"	"y 5F*"	"1"	1	3		
Sc	1	"3015.3689"	"6g"	"7.8e+07"	B+	"0.00000000"	"4.1105447"	"3d.4s2"	"2D"	"3/2"	"3d2.(3F).4p"	"2F*"	"5/2"	4	6		
Fe	2	"3015.37968"	"90d?"	"7.2e+06"	D+	"9.0576548"	"13.1681849"	"3d6.(1G2).4p"	"x 2F*"	"5/2"	"3d6.(3F2).4d"	"2F"	"5/2"	6	6		
Na	2	"3015.400"	"600"	"1.51e+07"	C+	"36.902113"	"41.012615"	"2s2.2p5.3p"	"3D"	"2"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	5	5		
V	2	"3015.7062"	"9500"	"1.2e+08"	D+	"6.5560400"	"10.6661251"	"3d3.(2H).4p"	"z 3I*"	"5"	"3d3.(2H).5s"	"3H"	"4"	11	9		
Ne	2	"3015.70901"	""	"1.3e+06"	D	"27.2329339"	"31.34301510"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"2S*"	"1/2"	4	2		
Fe	2	"3015.79486"	"350"	"5.7e+06"	D+	"9.1439928"	"13.2539571"	"3d6.(1I).4p"	"w 2H*"	"9/2"	"3d6.(3F2).4d"	"2G"	"7/2"	10	8		
Fe	1	"3015.9186"	"1380"	"6.3e+06"	D+	"2.43269470"	"6.5424903"	"3d6.4s2"	"a 3H"	"5"	"3d7.(2H).4p"	"w 3H*"	"4"	11	9		
V	2	"3015.99129"	"10000"	"2.0e+07"	C	"2.03601013"	"6.14570669"	"3d3.(2G).4s"	"b 3G"	"4"	"3d3.(2G).4p"	"z 1F*"	"3"	9	7		
V	2	"3016.1418"	"13000"	"2.01e+07"	B+	"1.6855312"	"5.79502267"	"3d3.(4P).4s"	"a 5P"	"2"	"3d3.(4P).4p"	"z 3P*"	"2"	5	5		
Fe	1	"3016.18458"	"5400"	"8.85e+06"	D+	"0.99011115"	"5.09954435"	"3d7.(4F).4s"	"a 5F"	"2"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"1"	5	3		
Mn	1	"3016.453"	"60"	"2.9e+07"	E	"3.134994"	"7.244062"	"3d5.4s2"	"a 4G"	"9/2"	"3d6.(3H).4p"	"y 4H*"	"11/2"	10	12		
V	2	"3016.7800"	"36000"	"1.29e+08"	B	"1.7037461"	"5.81236824"	"3d3.(4P).4s"	"a 5P"	"3"	"3d3.(4P).4p"	"z 5P*"	"2"	7	5		
Fe	2	"3016.9434"	"190d"	"1.7e+06"	D	"7.12826481"	"11.2366645"	"3d5.4s2"	"d 4P"	"3/2"	"3d6.(3P1).4p"	"4S*"	"3/2"	4	4		
V	2	"3017.1221"	"860h"	"6.2e+06"	D+	"2.5561913"	"6.6643477"	"3d3.(2D2).4s"	"b 3D"	"2"	"3d3.(2D2).4p"	"w 3D*"	"1"	5	3		
Ti	2	"3017.18337"	"120"	"3.72e+07"	B+	"1.58387542"	"5.69194831"	"3d3"	"a 2H"	"11/2"	"3d2.(1G).4p"	"z 2H*"	"11/2"	12	12		
